gen,zone,tech,fuel,StYr,RetrYr,Capacity,Status,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,MaxTotalBuild,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize,Tech Valid
Baro 2 HEP,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,507.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.99,50.0,507.0,507.0,0.0,,0.0,0.05,0.0,0.0,True
Beko Abo,Ethiopia,ReservoirHydro,Water,2024.0,2074.0,935.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.35,50.0,935.0,935.0,0.0,,0.0,0.0,0.0,0.0,True
Birbir,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,467.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,467.0,467.0,0.0,,0.0,0.05,0.0,0.0,True
Birbir R,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,467.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,2.72,50.0,467.0,467.0,0.0,,0.0,0.0,0.0,0.0,True
Dabus HEP,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,798.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.14,50.0,798.0,798.0,0.0,,0.0,0.0,0.0,0.0,True
Deday,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,125.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Geba 1,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,214.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.94,50.0,214.0,214.0,0.0,,0.0,0.0,0.0,0.0,True
Geba 2,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,157.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.13,50.0,157.0,157.0,0.0,,0.0,0.0,0.0,0.0,True
Genale V,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,2.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Genale VI,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,246.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,4.92,246.0,0.0,,0.0,0.0,0.0,0.0,True
Genji (linked with Baro & II),Ethiopia,ReservoirHydro,Water,2028.0,2078.0,214.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.92,50.0,4.28,214.0,0.0,,0.0,0.0,0.0,0.0,True
Gode,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Gojeb,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,3.51,50.0,150.0,150.0,0.0,,0.0,0.0,0.0,0.0,True
Halele,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,96.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,5.32,50.0,96.0,96.0,0.0,,0.0,0.1,0.0,0.0,True
Humera solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.1,1.0,0.0,True
Karadobi,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,1600.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.61,50.0,1600.0,1600.0,0.0,,0.0,0.05,0.0,0.0,True
KebriBeyah,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Kesem BIO,Ethiopia,BiomassPlant,Biomass,2027.0,2057.0,64.0,3.0,0.0,9.54,1.0,1.0,0.0,0.05,17120.0,2.5,5.0,4.0,30.0,64.0,64.0,0.0,,0.0,0.0,0.0,0.0,True
Lower Dabus,Ethiopia,ReservoirHydro,Water,2050.0,2100.0,250.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,3.47,50.0,250.0,250.0,0.0,,0.0,0.05,0.0,0.0,True
Lower Didessa,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,301.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.13,50.0,550.0,550.0,0.0,,0.0,0.05,0.0,0.0,True
May Mekdan,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Mekele WF,Ethiopia,PV,Solar,2025.0,2050.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Meki Solar,Ethiopia,PV,Solar,2025.0,2050.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.05,1.0,0.0,True
Melkasedi Solar,Ethiopia,PV,Solar,2025.0,2050.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,150.0,150.0,0.0,,0.0,0.05,1.0,0.0,True
Meshenti Solar,Ethiopia,PV,Solar,2025.0,2050.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.06,1.0,0.0,True
Metehara solar,Ethiopia,PV,Solar,2024.0,2049.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.06,1.0,0.0,True
Metema solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Sela Dingay,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Sor_2_HEP,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,5.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,3.72,50.0,5.0,5.0,0.0,,0.0,0.0,0.0,0.0,True
Sure,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Tams,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,1700.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,2.03,50.0,1700.0,1700.0,0.0,,0.0,0.05,0.0,0.0,True
Tekeze II,Ethiopia,ReservoirHydro,Water,2029.0,2079.0,450.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,450.0,450.0,0.0,,0.0,0.05,0.0,0.0,True
Tulu Guled,Ethiopia,OnshoreWind,Wind,2024.0,2054.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,100.0,100.0,0.0,,0.0,0.05,1.0,0.0,True
Upper Dabus,Ethiopia,ReservoirHydro,Water,2050.0,2100.0,326.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.93,50.0,326.0,326.0,0.0,,0.0,0.0,0.0,0.0,True
Upper Mendaya,Ethiopia,ReservoirHydro,Water,2025.0,2075.0,1700.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.43,50.0,1700.0,1700.0,0.0,,0.0,0.0,0.0,0.0,True
Wabi,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,300.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,3.3,50.0,300.0,300.0,0.0,,0.0,0.0,0.0,0.0,True
Wabi Shebele,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,87.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,10.34,50.0,87.0,87.0,0.0,,0.0,0.0,0.0,0.0,True
Welenchiti solar,Ethiopia,PV,Solar,2024.0,2049.0,150.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,150.0,150.0,0.0,,0.0,0.0,1.0,0.0,True
Werabesa,Ethiopia,ReservoirHydro,Water,2024.0,2074.0,436.0,3.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,2.19,50.0,436.0,436.0,0.0,,0.0,0.1,0.0,0.0,True
Wereta Solar,Ethiopia,PV,Solar,2025.0,2050.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Wolkayit BIO,Ethiopia,BiomassPlant,Biomass,2023.0,2053.0,82.0,3.0,0.0,9.54,1.0,1.0,0.0,0.05,17120.0,2.5,5.0,3.0,30.0,82.0,82.0,0.0,,0.0,0.0,0.0,0.0,True
Yirgalem Solar,Ethiopia,PV,Solar,2025.0,2050.0,100.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Beles,Ethiopia,BiomassPlant,Biomass,2025.0,2055.0,60.0,2.0,0.0,9.54,1.0,1.0,0.0,0.05,17120.0,2.5,5.0,4.0,30.0,60.0,60.0,0.0,,0.0,0.05,0.0,0.0,True
Omo_Kuraz BIO,Ethiopia,BiomassPlant,Biomass,2026.0,2056.0,220.0,2.0,0.0,9.54,1.0,1.0,0.0,0.05,17120.0,2.5,5.0,1.5,30.0,220.0,220.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_Coal_6_Ethiopia,Ethiopia,ST,Coal,2045.0,2075.0,,3.0,0.0,9.54,1.0,1.0,0.0,0.2,17120.0,3.42,5.0,2.0,30.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_Wind_1,Ethiopia,OnshoreWind,Wind,2027.0,2057.0,5929.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,1.9,30.0,118.58,5929.0,0.0,,0.0,0.0,1.0,0.0,True
Aluto Langano,Ethiopia,Geothermal,Geothermal,2022.0,2052.0,7.0,2.0,0.0,9.51,1.0,1.0,0.0,0.05,88400.0,8.4,5.0,4.0,30.0,7.0,7.0,0.0,,0.0,0.05,0.0,0.0,True
Aluto Langano I (Rehabilitation),Ethiopia,Geothermal,Geothermal,2023.0,2053.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,2.5,2.5,0.0,,0.0,0.0,0.0,0.0,True
Aluto Langano II,Ethiopia,Geothermal,Geothermal,2026.0,2056.0,75.0,2.0,0.0,9.51,1.0,1.0,0.0,0.05,88400.0,8.4,5.0,4.0,30.0,75.0,75.0,0.0,,0.0,0.0,0.0,0.0,True
Asela-I,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,30000.0,0.0,0.0,1.3,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Asela-II (Iteya),Ethiopia,OnshoreWind,Wind,2025.0,2055.0,,2.0,0.0,0.0,1.0,1.0,0.0,0.0,88800.0,8.4,0.0,1.9,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Assela,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,1.9,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Ayisha-I,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,1.9,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Ayisha-II,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,120.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,88800.0,8.4,0.0,1.9,30.0,120.0,120.0,0.0,,0.0,0.0,1.0,0.0,True
Corbetti I,Ethiopia,Geothermal,Geothermal,2025.0,2055.0,120.0,2.0,0.0,9.51,1.0,1.0,0.0,0.05,88800.0,8.4,5.0,4.0,30.0,120.0,120.0,0.0,,0.0,0.0,0.0,0.0,True
Corbetti II,Ethiopia,Geothermal,Geothermal,2027.0,2057.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Dabus Wind,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,1.9,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Dawa,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Debre Birhan,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,1.9,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Dechatu,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Dicheto solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Gad-I solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,15000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
GERD 3 HEP,Ethiopia,ReservoirHydro,Water,2026.0,2076.0,2000.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,1700.0,1700.0,0.0,,0.0,0.0,0.0,0.0,True
GERD 4 HEP,Ethiopia,ReservoirHydro,Water,2027.0,2077.0,1600.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,1700.0,1700.0,0.0,,0.0,0.0,0.0,0.0,True
GERD 5 HEP,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,800.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,1000.0,1000.0,0.0,,0.0,0.0,0.0,0.0,True
Humera,Ethiopia,PV,Solar,2024.0,2049.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
HumeraSS4_WeransoMekeleSS3_Wolenchiti,Ethiopia,PV,Solar,2024.0,2049.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Koysha (Gibe IV),Ethiopia,ReservoirHydro,Water,2026.0,2076.0,2160.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.28,50.0,2160.0,2160.0,0.0,,0.0,0.0,0.0,0.0,True
Mekele,Ethiopia,OnshoreWind,Wind,2025.0,2055.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,30.0,100.0,100.0,0.0,,0.0,0.0,1.0,0.0,True
Replacement Diesel,Ethiopia,ICE,Diesel,2030.0,2060.0,82.0,2.0,0.0,8.2,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,1.6,30.0,82.0,82.0,0.0,,0.0,0.0,0.0,0.0,True
Replacement Koka HEP,Ethiopia,ReservoirHydro,Water,2035.0,2085.0,43.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.97,50.0,42.9,42.9,0.0,,0.0,0.0,0.0,0.0,True
Tulu Moye I,Ethiopia,Geothermal,Geothermal,2024.0,2054.0,50.0,2.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,50.0,50.0,0.0,,0.0,0.0,0.0,0.0,True
Tulu Moye II,Ethiopia,Geothermal,Geothermal,2026.0,2056.0,100.0,2.0,0.0,0.0,1.0,1.0,0.0,0.05,75000.0,0.0,5.0,3.0,30.0,100.0,100.0,0.0,,0.0,0.0,0.0,0.0,True
Tulumoya_Abaya,Ethiopia,Geothermal,Geothermal,2024.0,2054.0,150.0,2.0,0.0,9.51,1.0,1.0,0.0,0.05,88800.0,8.4,5.0,4.0,30.0,150.0,150.0,0.0,,0.0,0.0,0.0,0.0,True
Weranso solar,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
Wolenchiti,Ethiopia,PV,Solar,2024.0,2049.0,125.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,21000.0,0.0,0.0,0.8,25.0,125.0,125.0,0.0,,0.0,0.0,1.0,0.0,True
YedaI,Ethiopia,ReservoirHydro,Water,2028.0,2078.0,162.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,2.26,50.0,162.0,162.0,0.0,,0.0,0.0,0.0,0.0,True
YedaII (linked with YedaI),Ethiopia,ReservoirHydro,Water,2028.0,2078.0,118.0,2.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.48,50.0,118.0,118.0,0.0,,0.0,0.0,0.0,0.0,True
Aba Samuel,Ethiopia,ROR,Water,2016.0,2066.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Adama I,Ethiopia,OnshoreWind,Wind,2015.0,2045.0,51.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Adama II,Ethiopia,OnshoreWind,Wind,2015.0,2045.0,158.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Addis Ababa EFW,Ethiopia,BiomassPlant,Biomass,2019.0,2049.0,25.0,1.0,0.0,9.96,1.0,1.0,0.0,0.05,50000.0,3.74,5.0,4.8,30.0,25.0,25.0,0.0,,0.0,0.0,0.0,0.0,True
Ashegoda,Ethiopia,OnshoreWind,Wind,2013.0,2043.0,120.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,46000.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,True
Awash II,Ethiopia,ROR,Water,1966.0,2016.0,32.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Awash III,Ethiopia,ROR,Water,1971.0,2021.0,32.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Awash7,Ethiopia,ICE,Diesel,2004.0,2034.0,30.0,1.0,0.0,10.29,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Beles HEP,Ethiopia,ReservoirHydro,Water,2010.0,2060.0,444.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Dire Dawa,Ethiopia,ICE,Diesel,2004.0,2034.0,38.0,1.0,0.0,9.47,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Finchaa,Ethiopia,ReservoirHydro,Water,1973.0,2023.0,128.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Genale Dawa III,Ethiopia,ReservoirHydro,Water,2021.0,2071.0,254.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,1.97,50.0,254.0,254.0,0.0,,0.0,0.0,0.0,0.0,True
GERD 1 HEP,Ethiopia,ReservoirHydro,Water,2021.0,2071.0,250.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
GERD 2 HEP,Ethiopia,ReservoirHydro,Water,2022.0,2072.0,500.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,0.0,0.0,0.0,,0.0,0.05,0.0,0.0,True
GERD 3a HEP,Ethiopia,ReservoirHydro,Water,2024.0,2074.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.76,50.0,1700.0,1700.0,0.0,,0.0,0.05,0.0,0.0,True
Gibe I,Ethiopia,ReservoirHydro,Water,2004.0,2054.0,172.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Gibe II,Ethiopia,ROR,Water,2010.0,2060.0,420.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Gibe III,Ethiopia,ReservoirHydro,Water,2015.0,2065.0,1067.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Kality,Ethiopia,ICE,Diesel,2004.0,2034.0,14.0,1.0,0.0,10.29,1.0,1.0,0.0,0.2,60000.0,6.0,5.0,0.0,30.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Koka HEP,Ethiopia,ReservoirHydro,Water,1960.0,2010.0,43.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Maleka Wakana HEP,Ethiopia,ReservoirHydro,Water,2014.0,2064.0,151.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Neshe,Ethiopia,ReservoirHydro,Water,2013.0,2063.0,90.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Sor_1_HEP,Ethiopia,ReservoirHydro,Water,2014.0,2064.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Tekeze I,Ethiopia,ReservoirHydro,Water,2009.0,2059.0,300.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,50000.0,0.5,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Tis Abay I HEP,Ethiopia,ReservoirHydro,Water,1964.0,2014.0,11.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Tis Abey ll,Ethiopia,ReservoirHydro,Water,2001.0,2051.0,68.0,1.0,0.0,0.0,1.0,1.0,0.0,0.4,18000.0,0.0,5.0,0.0,50.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,True
Biomass_2024,Kenya,BiomassPlant,Biomass,2051.0,2081.0,90.0,3.0,0.0,12.5,0.0,0.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,90.0,90.0,0.0,,0.0,0.0,0.0,0.0,True
Biomass_2025,Kenya,BiomassPlant,Biomass,2051.0,2081.0,80.0,3.0,0.0,12.5,0.0,0.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,80.0,80.0,0.0,,0.0,0.0,0.0,0.0,True
Cummins Cogeneration Kenya Limited,Kenya,BiomassPlant,Biomass,2027.0,2057.0,1931.0,3.0,0.0,12.5,1.0,1.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,38.62,1931.0,0.0,,0.0,0.0,0.0,0.0,True
Generic Biomass,Kenya,BiomassPlant,Biomass,2051.0,2081.0,1931.0,3.0,0.0,12.5,1.0,1.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,38.62,1931.0,0.0,,0.0,0.0,0.0,0.0,True
Municipal Waste to Energy ,Kenya,BiomassPlant,Biomass,2030.0,2060.0,38.0,3.0,0.0,12.5,1.0,1.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,38.2,38.2,0.0,,0.0,0.0,0.0,0.0,True
Roadtech Solutions,Kenya,BiomassPlant,Biomass,2025.0,2055.0,10.0,3.0,0.0,12.5,0.0,0.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,10.0,10.0,0.0,,0.0,0.0,0.0,0.0,True
Small Biomass (Thika Way + West Kenya Sugar Company + Viability Africa + VR Holding + Biogas Holding),Kenya,BiomassPlant,Biomass,2023.0,2053.0,20.0,3.0,0.0,12.5,1.0,1.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,19.65,19.65,0.0,,0.0,0.0,0.0,0.0,True
Tana Biomass Limited (Biogas- Solar Hybrid) ,Kenya,BiomassPlant,Biomass,2031.0,2061.0,20.0,3.0,0.0,12.5,1.0,1.0,0.0,0.05,100000.0,2.5,5.0,1.5,30.0,20.0,20.0,0.0,,0.0,0.0,0.0,0.0,True
Dongo Kundu,Kenya,CCGT,Gas,2028.0,2058.0,785.0,3.0,0.15,6.48,0.0,0.0,0.0,0.1,32500.0,13.4,5.0,1.35,30.0,785.0,785.0,0.0,,0.0,0.05,0.0,0.0,True
Generic_GENC_Natural Gas - CCGT,Kenya,CCGT,Gas,2028.0,2058.0,10000.0,3.0,0.15,6.48,1.0,1.0,0.0,0.1,30000.0,2.0,5.0,0.9,30.0,1000.0,10000.0,0.0,,0.0,0.0,0.0,0.0,True
